QID	title	coordinates	genreLabel	countryOriginLabel	pubDate	long	lat
Q732022	Mr. Nobody	Point(-109.0 56.0)	fantasy film	Canada	2010-07-08	-109.0	56.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	arthouse science fiction film	Canada	2010-01-13	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	comedy film	France	2010-07-08	2.0	47.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	drama film	Belgium	2010-07-08	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	fantasy film	Belgium	2010-07-08	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	arthouse science fiction film	Belgium	2010-01-13	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(2.0 47.0)	science fiction film	France	2010-07-08	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	drama film	France	2009-09-12	2.0	47.0
Q732022	Mr. Nobody	Point(2.0 47.0)	fantasy film	France	2009-09-12	2.0	47.0
Q732022	Mr. Nobody	Point(10.0 51.0)	romance film	Germany	2010-01-13	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	romance film	Canada	2010-01-13	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	comedy film	Germany	2010-01-13	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	romance film	Belgium	2010-01-13	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	comedy film	Canada	2010-01-13	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	arthouse science fiction film	Germany	2009-09-12	10.0	51.0
Q732022	Mr. Nobody	Point(10.0 51.0)	science fiction film	Germany	2010-01-13	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	arthouse science fiction film	Canada	2009-09-12	-109.0	56.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	science fiction film	Canada	2010-01-13	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	romance film	France	2010-08-26	2.0	47.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	arthouse science fiction film	Belgium	2010-07-16	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(10.0 51.0)	drama film	Germany	2010-08-26	10.0	51.0
Q732022	Mr. Nobody	Point(10.0 51.0)	fantasy film	Germany	2010-08-26	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	drama film	Canada	2010-08-26	-109.0	56.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	fantasy film	Canada	2010-08-26	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	comedy film	France	2010-08-26	2.0	47.0
Q732022	Mr. Nobody	Point(10.0 51.0)	romance film	Germany	2010-07-16	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	drama film	Belgium	2010-08-26	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	fantasy film	Belgium	2010-08-26	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	romance film	Canada	2010-07-16	-109.0	56.0
Q732022	Mr. Nobody	Point(2.0 47.0)	science fiction film	France	2010-08-26	2.0	47.0
Q732022	Mr. Nobody	Point(10.0 51.0)	arthouse science fiction film	Germany	2010-07-08	10.0	51.0
Q732022	Mr. Nobody	Point(-109.0 56.0)	arthouse science fiction film	Canada	2010-07-08	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	comedy film	Germany	2010-07-16	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	romance film	Belgium	2010-07-16	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	comedy film	Canada	2010-07-16	-109.0	56.0
Q732022	Mr. Nobody	Point(10.0 51.0)	science fiction film	Germany	2010-07-16	10.0	51.0
Q732022	Mr. Nobody	Point(4.668055555 50.641111111)	arthouse science fiction film	Belgium	2010-07-08	4.668055555	50.641111111
Q732022	Mr. Nobody	Point(-109.0 56.0)	science fiction film	Canada	2010-07-16	-109.0	56.0
